127.0.0.1 - - [10/Jan/2020:14:35:09 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:35:11 +0900] "GET /Lecture_Evaluation/ HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:35:19 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2575
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:35:19 +0900] "GET /Lecture_Evaluation/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:35:19 +0900] "GET /Lecture_Evaluation/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:35:19 +0900] "GET /Lecture_Evaluation/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:35:19 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:35:19 +0900] "GET /Lecture_Evaluation/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:35:19 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:35:26 +0900] "GET /Lecture_Evaluation/ HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:35:27 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2575
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:35:48 +0900] "POST /Lecture_Evaluation/userLoginAction.jsp HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:37:02 +0900] "POST /Lecture_Evaluation/userLoginAction.jsp HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:37:04 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:37:04 +0900] "GET /Lecture_Evaluation/emailSendConfirm.jsp HTTP/1.1" 200 2364
